"dataset","task","topic","source","url","why_it_fits"
"Iris","classification","classification","UCI ML Repository","https://archive.ics.uci.edu/ml/datasets/iris","Classic multi-class classification benchmark; ideal for learning decision boundaries and metrics."
"Titanic","classification","classification","Kaggle","https://www.kaggle.com/c/titanic","Binary classification with missing values; teaches feature engineering and logistic regression."
"Credit Card Fraud","classification","classification","Kaggle","https://www.kaggle.com/datasets/mlg-ulb/creditcardfraud","Highly imbalanced binary classification; teaches SMOTE and precision-recall tradeoff."
"Adult Income","classification","classification","UCI ML Repository","https://archive.ics.uci.edu/ml/datasets/adult","Tabular binary classification with mixed types; great for comparing classifiers."
"Boston Housing","regression","linear regression","StatLib","https://www.cs.toronto.edu/~delve/data/boston/bostonDetail.html","Classic continuous target regression; teaches coefficients and regularization basics."
"California Housing","regression","linear regression","Scikit-learn","https://scikit-learn.org/stable/datasets/real_world.html","Real-world regression with geographic features; good for feature scaling."
"Diabetes","regression","linear regression","Scikit-learn","https://scikit-learn.org/stable/datasets/toy.html","10-feature medical regression; clean dataset to study coefficients and cross-validation."
"Ames Housing","regression","linear regression","Kaggle","https://www.kaggle.com/c/house-prices-advanced-regression-techniques","79-feature regression; teaches feature selection and regularization at scale."
"Mall Customers","clustering","clustering","Kaggle","https://www.kaggle.com/datasets/vjchoudhary7/customer-segmentation-tutorial-in-python","Small spending dataset ideal for K-means and silhouette analysis."
"Online Retail","clustering","clustering","UCI ML Repository","https://archive.ics.uci.edu/ml/datasets/online+retail","RFM customer segmentation; teaches feature engineering before clustering."
"Seeds","clustering","clustering","UCI ML Repository","https://archive.ics.uci.edu/ml/datasets/seeds","Wheat seed measurements; compact dataset for comparing K-means vs hierarchical."
"MNIST","classification","neural networks","Yann LeCun","http://yann.lecun.com/exdb/mnist/","Handwritten digit images; canonical dataset for feedforward and convolutional networks."
"Fashion-MNIST","classification","neural networks","Zalando Research","https://github.com/zalandoresearch/fashion-mnist","Drop-in MNIST replacement with more variation; tests neural network generalization."
"CIFAR-10","classification","computer vision","CIFAR","https://www.cs.toronto.edu/~kriz/cifar.html","10-class image dataset; standard CNN benchmark for conv layers and augmentation."
"Oxford Flowers","classification","computer vision","Oxford VGG","https://www.robots.ox.ac.uk/~vgg/data/flowers/","102 flower categories; teaches transfer learning with pretrained CNNs."
"Open Images","object detection","computer vision","Google","https://storage.googleapis.com/openimages/web/index.html","Large-scale labeled images with bounding boxes; used for detection pipelines."
"IMDb Reviews","sentiment analysis","nlp","Stanford AI","https://ai.stanford.edu/~amaas/data/sentiment/","50k movie reviews with binary sentiment; standard text classification benchmark."
"Amazon Product Reviews","sentiment analysis","nlp","Amazon","https://jmcauley.ucsd.edu/data/amazon/","Multi-domain review corpus; teaches multi-class sentiment and domain adaptation."
"AG News","text classification","nlp","HuggingFace","https://huggingface.co/datasets/ag_news","4-class news classification; clean dataset for TF-IDF and fine-tuning."
"20 Newsgroups","text classification","nlp","MIT","https://scikit-learn.org/stable/datasets/real_world.html","Multi-class newsgroup text; classic for TF-IDF and Naive Bayes."
"SQuAD","question answering","transformers","Stanford NLP","https://rajpurkar.github.io/SQuAD-explorer/","Reading comprehension QA pairs; standard fine-tuning benchmark for BERT-style models."
"GLUE","multi-task NLP","transformers","NYU / DeepMind","https://gluebenchmark.com/","Suite of NLP tasks; evaluates transformer models across classification and inference."
"CommonCrawl","language modeling","llm","CommonCrawl","https://commoncrawl.org/","Web-scale pretraining corpus used in GPT; teaches data curation pipelines."
