project,topic,difficulty,estimated_hours,tags,description,url
Titanic Survival Predictor,machine learning,beginner,6,"classification,pandas,sklearn",Build a titanic survival predictor to practice machine learning at the beginner level.,https://github.com/search?q=Titanic+Survival+Predictor+machine+learning&type=repositories
House Price Regression,regression,beginner,8,"regression,feature-engineering,sklearn",Build a house price regression to practice regression at the beginner level.,https://github.com/search?q=House+Price+Regression+regression&type=repositories
Digit Recogniser (MNIST CNN),deep learning,beginner,10,"cnn,pytorch,image-classification",Build a digit recogniser (mnist cnn) to practice deep learning at the beginner level.,https://github.com/search?q=Digit+Recogniser+deep+learning&type=repositories
Movie Recommendation Engine,recommendation systems,intermediate,14,"collaborative-filtering,matrix-factorization,surprise",Build a movie recommendation engine to practice recommendation systems at the intermediate level.,https://github.com/search?q=Movie+Recommendation+Engine+recommendation+systems&type=repositories
Sentiment Analysis Twitter,natural language processing,beginner,8,"nlp,text-classification,sklearn",Build a sentiment analysis twitter to practice natural language processing at the beginner level.,https://github.com/search?q=Sentiment+Analysis+Twitter+natural+language+processing&type=repositories
Customer Churn Prediction,classification,intermediate,12,"imbalanced-data,xgboost,shap",Build a customer churn prediction to practice classification at the intermediate level.,https://github.com/search?q=Customer+Churn+Prediction+classification&type=repositories
COVID-19 Dashboard,data visualization,beginner,6,"plotly,pandas,dash",Build a covid-19 dashboard to practice data visualization at the beginner level.,https://github.com/search?q=COVID-19+Dashboard+data+visualization&type=repositories
Stock Price Forecasting LSTM,time series analysis,intermediate,16,"lstm,keras,finance",Build a stock price forecasting lstm to practice time series analysis at the intermediate level.,https://github.com/search?q=Stock+Price+Forecasting+LSTM+time+series+analysis&type=repositories
Customer Segmentation with K-Means,clustering,beginner,8,"kmeans,pca,matplotlib",Build a customer segmentation with k-means to practice clustering at the beginner level.,https://github.com/search?q=Customer+Segmentation+K-Means+clustering&type=repositories
Fake News Detector,natural language processing,intermediate,14,"tfidf,logistic-regression,nlp",Build a fake news detector to practice natural language processing at the intermediate level.,https://github.com/search?q=Fake+News+Detector+natural+language+processing&type=repositories
Image Classifier Transfer Learning,computer vision,intermediate,12,"resnet,transfer-learning,pytorch",Build an image classifier with transfer learning to practice computer vision at the intermediate level.,https://github.com/search?q=Image+Classifier+Transfer+Learning+computer+vision&type=repositories
Fraud Detection System,classification,advanced,20,"imbalanced-data,isolation-forest,xgboost",Build a fraud detection system to practice classification at the advanced level.,https://github.com/search?q=Fraud+Detection+System+classification&type=repositories
BERT Fine-Tuning for QA,transformers,advanced,24,"bert,huggingface,qa,nlp",Build a bert fine-tuning for qa to practice transformers at the advanced level.,https://github.com/search?q=BERT+Fine-Tuning+QA+transformers&type=repositories
Real-Time Object Detection App,computer vision,advanced,22,"yolo,opencv,flask,deployment",Build a real-time object detection app to practice computer vision at the advanced level.,https://github.com/search?q=Real-Time+Object+Detection+computer+vision&type=repositories
End-to-End ML Pipeline with MLflow,mlops,intermediate,18,"mlflow,sklearn,docker,tracking",Build an end-to-end ml pipeline with mlflow to practice mlops at the intermediate level.,https://github.com/search?q=End-to-End+ML+Pipeline+MLflow+mlops&type=repositories
Automated Feature Engineering,feature engineering,intermediate,14,"featuretools,pandas,sklearn",Build an automated feature engineering tool to practice feature engineering at the intermediate level.,https://github.com/search?q=Automated+Feature+Engineering&type=repositories
AB Test Statistical Analysis,statistics,beginner,6,"scipy,hypothesis-testing,pandas",Build an a/b test statistical analysis tool to practice statistics at the beginner level.,https://github.com/search?q=AB+Test+Statistical+Analysis+statistics&type=repositories
Energy Usage Anomaly Detector,time series analysis,advanced,20,"prophet,isolation-forest,plotly",Build an energy usage anomaly detector to practice time series analysis at the advanced level.,https://github.com/search?q=Energy+Usage+Anomaly+Detector+time+series&type=repositories
NLP Topic Modelling LDA,natural language processing,intermediate,12,"lda,gensim,pyldavis",Build an nlp topic modelling lda tool to practice natural language processing at the intermediate level.,https://github.com/search?q=NLP+Topic+Modelling+LDA+natural+language+processing&type=repositories
Dog Breed Classifier,computer vision,beginner,10,"cnn,keras,image-classification",Build a dog breed classifier to practice computer vision at the beginner level.,https://github.com/search?q=Dog+Breed+Classifier+computer+vision&type=repositories
GPT-2 Text Generator Fine-Tuned,deep learning,advanced,26,"gpt2,huggingface,fine-tuning",Build a gpt-2 text generator fine-tuned to practice deep learning at the advanced level.,https://github.com/search?q=GPT-2+Text+Generator+Fine-Tuned+deep+learning&type=repositories
EDA Report Generator,data science,beginner,5,"pandas,matplotlib,seaborn,sweetviz",Build an eda report generator to practice data science at the beginner level.,https://github.com/search?q=EDA+Report+Generator+data+science&type=repositories
Clustering News Articles,clustering,intermediate,12,"tfidf,kmeans,word2vec",Build a clustering news articles tool to practice clustering at the intermediate level.,https://github.com/search?q=Clustering+News+Articles+clustering&type=repositories
Reinforcement Learning Cart-Pole,reinforcement learning,intermediate,16,"openai-gym,q-learning,pytorch",Build a reinforcement learning cart-pole agent to practice reinforcement learning at the intermediate level.,https://github.com/search?q=Reinforcement+Learning+Cart-Pole&type=repositories
Graph-Based Friend Recommender,recommendation systems,advanced,22,"networkx,graph-neural-networks,pytorch",Build a graph-based friend recommender to practice recommendation systems at the advanced level.,https://github.com/search?q=Graph+Friend+Recommender+recommendation+systems&type=repositories
Medical Diagnosis Classifier,classification,advanced,20,"xgboost,shap,class-imbalance",Build a medical diagnosis classifier to practice classification at the advanced level.,https://github.com/search?q=Medical+Diagnosis+Classifier+classification&type=repositories
Python Data Pipeline ETL,python programming,beginner,8,"pandas,sqlalchemy,etl",Build a python data pipeline etl to practice python programming at the beginner level.,https://github.com/search?q=Python+Data+Pipeline+ETL&type=repositories
Interactive Seaborn Dashboard,data visualization,intermediate,10,"seaborn,plotly,streamlit",Build an interactive seaborn dashboard to practice data visualization at the intermediate level.,https://github.com/search?q=Interactive+Seaborn+Dashboard+data+visualization&type=repositories
ARIMA Sales Forecasting,time series analysis,beginner,8,"statsmodels,arima,matplotlib",Build an arima sales forecasting model to practice time series analysis at the beginner level.,https://github.com/search?q=ARIMA+Sales+Forecasting+time+series&type=repositories
SQL Analytics on E-Commerce Data,sql for data science,beginner,7,"sql,pandas,postgresql",Build a sql analytics tool on e-commerce data to practice sql for data science at the beginner level.,https://github.com/search?q=SQL+Analytics+E-Commerce+Data+science&type=repositories
Big Data Word Count PySpark,big data,intermediate,14,"pyspark,hadoop,mapreduce",Build a big data word count tool with pyspark to practice big data at the intermediate level.,https://github.com/search?q=Big+Data+Word+Count+PySpark&type=repositories
Deploy ML Model with FastAPI,mlops,beginner,8,"fastapi,docker,sklearn,rest-api",Build a deploy ml model with fastapi to practice mlops at the beginner level.,https://github.com/search?q=Deploy+ML+Model+FastAPI+mlops&type=repositories
Vision Transformer ViT from Scratch,transformers,advanced,28,"vit,pytorch,image-classification",Build a vision transformer vit from scratch to practice transformers at the advanced level.,https://github.com/search?q=Vision+Transformer+ViT+from+Scratch&type=repositories
Bayesian AB Testing,statistics,advanced,16,"pymc,bayesian,scipy",Build a bayesian a/b testing model to practice statistics at the advanced level.,https://github.com/search?q=Bayesian+AB+Testing+statistics&type=repositories
Named Entity Recognition spaCy,natural language processing,beginner,8,"spacy,ner,nlp",Build a named entity recognition tool with spacy to practice natural language processing at the beginner level.,https://github.com/search?q=Named+Entity+Recognition+spaCy+nlp&type=repositories
